random,srz
130290,132577
130010,132577
130357,132577
129245,132577
128719,132577
129747,132577
129737,132577
131384,132577
131619,132577
130534,132577
124968,124777
122552,124777
123506,124777
122152,124777
123805,124777
123002,124777
124084,124777
122905,124777
123256,124777
125197,124777
120288,121025
120607,121025
121267,121025
121392,121025
119830,121025
121074,121025
120084,121025
122186,121025
121831,121025
120025,121025
124032,125215
125367,125215
125787,125215
125089,125215
126264,125215
124357,125215
126812,125215
123978,125215
125040,125215
123433,125215
121831,122388
121389,122388
121508,122388
121656,122388
122376,122388
122546,122388
121906,122388
123308,122388
121828,122388
122107,122388
123909,124603
124235,124603
124054,124603
123987,124603
124576,124603
125544,124603
123957,124603
124384,124603
125335,124603
124007,124603
126340,128365
126959,128365
126946,128365
127330,128365
126705,128365
127421,128365
126879,128365
127072,128365
126967,128365
127100,128365
128099,127894
127115,127894
127652,127894
128220,127894
126642,127894
127288,127894
125721,127894
128972,127894
127387,127894
127052,127894
126004,125710
125845,125710
126462,125710
125785,125710
126439,125710
125452,125710
126737,125710
124788,125710
125462,125710
125281,125710
127219,129605
127794,129605
127510,129605
128003,129605
128255,129605
127966,129605
126860,129605
127197,129605
126895,129605
128244,129605
377851,381472
376948,381472
377624,381472
378478,381472
378276,381472
378923,381472
377921,381472
378530,381472
374420,381472
378243,381472
382942,387933
384335,387933
383623,387933
385413,387933
383373,387933
383509,387933
384492,387933
383283,387933
382736,387933
383449,387933
379135,384494
380007,384494
380937,384494
379533,384494
381886,384494
379765,384494
381437,384494
380896,384494
382194,384494
383538,384494
387003,388452
383743,388452
387034,388452
384821,388452
382296,388452
386172,388452
383494,388452
384100,388452
382802,388452
385060,388452
381787,385498
380471,385498
379111,385498
379525,385498
381196,385498
382157,385498
383732,385498
380750,385498
379742,385498
381097,385498
384585,390511
383226,390511
382020,390511
383941,390511
381618,390511
384804,390511
383935,390511
383474,390511
383618,390511
385892,390511
384817,390497
388961,390497
385774,390497
384649,390497
384892,390497
385689,390497
385756,390497
384922,390497
387946,390497
385717,390497
396132,398770
395392,398770
395216,398770
394955,398770
394867,398770
396397,398770
396560,398770
395300,398770
394699,398770
394144,398770
386931,387238
385640,387238
387762,387238
383496,387238
387927,387238
386140,387238
386060,387238
387406,387238
386576,387238
387935,387238
389684,393307
391604,393307
391810,393307
391344,393307
390390,393307
390653,393307
388950,393307
389121,393307
391702,393307
392440,393307
1251549,1256215
1247407,1256215
1250880,1256215
1251851,1256215
1255360,1256215
1253155,1256215
1246731,1256215
1252843,1256215
1246940,1256215
1246915,1256215
1272130,1283629
1268169,1283629
1269429,1283629
1273601,1283629
1265070,1283629
1268331,1283629
1267461,1283629
1277274,1283629
1258422,1283629
1269446,1283629
1290322,1295073
1289386,1295073
1283963,1295073
1293169,1295073
1294334,1295073
1286188,1295073
1284371,1295073
1291678,1295073
1291199,1295073
1292926,1295073
1262699,1282702
1266710,1282702
1267418,1282702
1270093,1282702
1268725,1282702
1263727,1282702
1273232,1282702
1271155,1282702
1266254,1282702
1264594,1282702
1242892,1252625
1249149,1252625
1240755,1252625
1245348,1252625
1244748,1252625
1257343,1252625
1250154,1252625
1253367,1252625
1249525,1252625
1247074,1252625
1251901,1258470
1257507,1258470
1246589,1258470
1255561,1258470
1249827,1258470
1252662,1258470
1247026,1258470
1252772,1258470
1248622,1258470
1248244,1258470
1260695,1270436
1262451,1270436
1259738,1270436
1254575,1270436
1263767,1270436
1270504,1270436
1271360,1270436
1262625,1270436
1260298,1270436
1269589,1270436
1267391,1272271
1266397,1272271
1263195,1272271
1270134,1272271
1263809,1272271
1272426,1272271
1266625,1272271
1261600,1272271
1270399,1272271
1269198,1272271
1254120,1271977
1253756,1271977
1256496,1271977
1253304,1271977
1250190,1271977
1250795,1271977
1258994,1271977
1258346,1271977
1260998,1271977
1260125,1271977
1280943,1289486
1275185,1289486
1277208,1289486
1273005,1289486
1270263,1289486
1266827,1289486
1268655,1289486
1272585,1289486
1277558,1289486
1273002,1289486
