random,srz
129809,129026
128481,129026
129160,129026
132892,129026
129703,129026
130858,129026
131276,129026
130306,129026
130203,129026
131722,129026
123157,121867
121718,121867
123373,121867
120701,121867
123867,121867
124602,121867
122718,121867
123435,121867
122857,121867
121456,121867
121008,119860
121522,119860
120873,119860
119804,119860
120356,119860
123238,119860
123803,119860
119997,119860
119604,119860
121228,119860
123907,124131
125137,124131
125598,124131
126093,124131
126347,124131
123949,124131
124586,124131
125640,124131
125020,124131
124201,124131
122387,123114
121459,123114
124212,123114
121948,123114
121908,123114
122320,123114
121521,123114
120990,123114
123809,123114
121604,123114
124045,122880
124617,122880
123738,122880
123763,122880
123659,122880
124176,122880
123765,122880
124272,122880
124181,122880
123665,122880
128311,125894
126248,125894
128312,125894
126447,125894
126765,125894
127348,125894
127613,125894
127143,125894
128299,125894
125910,125894
125820,127628
126596,127628
128297,127628
125842,127628
127250,127628
128008,127628
125515,127628
126742,127628
127560,127628
126554,127628
125145,125083
126368,125083
124315,125083
126080,125083
125109,125083
125153,125083
125455,125083
125438,125083
125197,125083
125430,125083
127786,127732
128065,127732
127910,127732
127646,127732
126390,127732
127079,127732
128298,127732
128695,127732
128347,127732
128669,127732
380362,378507
379657,378507
378490,378507
377429,378507
381638,378507
383189,378507
380372,378507
379784,378507
379285,378507
378063,378507
385332,383467
387622,383467
386305,383467
389810,383467
389378,383467
389254,383467
390592,383467
386233,383467
387081,383467
385592,383467
381118,381589
386712,381589
382344,381589
386474,381589
381339,381589
385741,381589
393093,381589
386017,381589
378901,381589
382811,381589
385037,383859
387721,383859
387874,383859
385430,383859
389334,383859
386578,383859
386355,383859
382740,383859
387850,383859
387999,383859
382981,382997
383229,382997
383996,382997
382763,382997
384258,382997
381986,382997
381343,382997
384253,382997
384871,382997
380883,382997
387459,387937
383096,387937
387437,387937
387558,387937
381849,387937
386691,387937
384379,387937
385481,387937
384644,387937
389559,387937
394968,387163
391217,387163
387797,387163
385104,387163
386685,387163
393096,387163
396479,387163
387246,387163
391212,387163
386722,387163
402902,395496
402289,395496
398556,395496
399878,395496
404481,395496
402792,395496
402547,395496
399462,395496
397225,395496
397921,395496
388861,385894
391524,385894
387114,385894
391908,385894
387720,385894
391372,385894
388265,385894
386359,385894
392358,385894
386191,385894
394422,390517
390171,390517
396332,390517
394772,390517
392835,390517
394051,390517
393872,390517
394632,390517
390844,390517
393985,390517
1267531,1256990
1271335,1256990
1267224,1256990
1273123,1256990
1288412,1256990
1275145,1256990
1272048,1256990
1272023,1256990
1278858,1256990
1275623,1256990
1287009,1274003
1280702,1274003
1298715,1274003
1281593,1274003
1290412,1274003
1288742,1274003
1299154,1274003
1289755,1274003
1287503,1274003
1290741,1274003
1316155,1296646
1309246,1296646
1319077,1296646
1310751,1296646
1317078,1296646
1310438,1296646
1314819,1296646
1310010,1296646
1315664,1296646
1305957,1296646
1283823,1270872
1292703,1270872
1285583,1270872
1285493,1270872
1288618,1270872
1290546,1270872
1305268,1270872
1287595,1270872
1295236,1270872
1288761,1270872
1266017,1252516
1262896,1252516
1277795,1252516
1262382,1252516
1262593,1252516
1265006,1252516
1277550,1252516
1256693,1252516
1272574,1252516
1274886,1252516
1272185,1257264
1265859,1257264
1284817,1257264
1281484,1257264
1273784,1257264
1279079,1257264
1269006,1257264
1272813,1257264
1279680,1257264
1282096,1257264
1288531,1268534
1299505,1268534
1288489,1268534
1280582,1268534
1278594,1268534
1280836,1268534
1286685,1268534
1280662,1268534
1289304,1268534
1292240,1268534
1291548,1266187
1284870,1266187
1293532,1266187
1291432,1266187
1295420,1266187
1289962,1266187
1302420,1266187
1280042,1266187
1284538,1266187
1287885,1266187
1279273,1266292
1275515,1266292
1274720,1266292
1276819,1266292
1283675,1266292
1277721,1266292
1281896,1266292
1284021,1266292
1279858,1266292
1277763,1266292
1295165,1278573
1289203,1278573
1298980,1278573
1302519,1278573
1290395,1278573
1298150,1278573
1299763,1278573
1288125,1278573
1291919,1278573
1311236,1278573
