random,srz
141464,133120
145981,133120
146531,133120
143488,133120
149339,133120
147321,133120
150873,133120
153272,133120
148381,133120
147890,133120
146103,124902
141182,124902
139695,124902
139896,124902
141998,124902
137285,124902
150135,124902
141185,124902
137521,124902
146111,124902
146727,122804
145845,122804
145975,122804
140706,122804
140418,122804
147558,122804
142635,122804
151035,122804
138326,122804
136661,122804
141547,127915
146863,127915
140598,127915
141798,127915
138862,127915
140532,127915
142693,127915
138263,127915
142724,127915
145418,127915
144371,127193
142540,127193
143638,127193
141437,127193
141419,127193
135835,127193
143980,127193
144904,127193
141583,127193
145043,127193
139195,128567
148522,128567
142984,128567
143919,128567
142194,128567
145094,128567
143966,128567
145446,128567
142489,128567
144611,128567
141150,128654
146662,128654
142805,128654
146493,128654
142394,128654
143512,128654
139556,128654
145949,128654
143218,128654
140524,128654
142229,128808
145100,128808
143602,128808
147974,128808
147076,128808
140726,128808
147506,128808
146231,128808
141314,128808
146967,128808
141612,128461
146887,128461
148591,128461
143276,128461
140214,128461
147208,128461
141907,128461
146353,128461
142171,128461
148156,128461
140138,131885
148689,131885
149303,131885
147254,131885
147715,131885
146613,131885
142481,131885
143452,131885
141367,131885
143830,131885
444262,392741
443285,392741
442402,392741
443219,392741
442438,392741
432834,392741
431962,392741
441124,392741
429786,392741
441625,392741
441091,390547
452433,390547
447410,390547
444209,390547
445504,390547
439688,390547
438666,390547
448912,390547
436515,390547
442517,390547
441698,395570
447901,395570
449161,395570
441800,395570
441178,395570
438571,395570
441222,395570
437594,395570
436728,395570
441251,395570
432967,396566
449911,396566
433110,396566
452957,396566
433442,396566
449415,396566
431470,396566
448175,396566
440663,396566
445114,396566
450567,393740
436125,393740
449571,393740
448397,393740
451182,393740
448578,393740
436406,393740
421585,393740
455086,393740
450794,393740
447951,399498
437126,399498
437845,399498
426795,399498
445167,399498
437460,399498
449468,399498
443249,399498
444732,399498
441660,399498
446210,402132
446762,402132
458471,402132
436232,402132
463694,402132
451669,402132
456487,402132
449253,402132
441173,402132
438787,402132
458767,410607
451152,410607
454730,410607
464769,410607
448667,410607
447938,410607
447811,410607
459570,410607
440218,410607
452832,410607
449977,397401
448695,397401
446304,397401
450717,397401
457002,397401
432040,397401
439538,397401
451354,397401
439283,397401
452207,397401
443927,404771
438421,404771
452872,404771
459770,404771
445279,404771
452180,404771
442807,404771
442386,404771
441497,404771
453827,404771
1469081,1290973
1453668,1290973
1468132,1290973
1483792,1290973
1457923,1290973
1459429,1290973
1463916,1290973
1441012,1290973
1490285,1290973
1467016,1290973
1470313,1313275
1467939,1313275
1451226,1313275
1469075,1313275
1510171,1313275
1508173,1313275
1500714,1313275
1499547,1313275
1491198,1313275
1494914,1313275
1457533,1334478
1484390,1334478
1506831,1334478
1511774,1334478
1500027,1334478
1478632,1334478
1488685,1334478
1482727,1334478
1471079,1334478
1478224,1334478
1499442,1288662
1448406,1288662
1476594,1288662
1465585,1288662
1491741,1288662
1482318,1288662
1481456,1288662
1481646,1288662
1462984,1288662
1474505,1288662
1429793,1286518
1472526,1286518
1519301,1286518
1472263,1286518
1452798,1286518
1456681,1286518
1447148,1286518
1453772,1286518
1476853,1286518
1467684,1286518
1482264,1300126
1482260,1300126
1503252,1300126
1488309,1300126
1508144,1300126
1476631,1300126
1498550,1300126
1507397,1300126
1458210,1300126
1501236,1300126
1469867,1311358
1484739,1311358
1498926,1311358
1483472,1311358
1512244,1311358
1488460,1311358
1473101,1311358
1493467,1311358
1518364,1311358
1489348,1311358
1470419,1303796
1441048,1303796
1451586,1303796
1470781,1303796
1492090,1303796
1484118,1303796
1472832,1303796
1471948,1303796
1518034,1303796
1490892,1303796
1509483,1307808
1462798,1307808
1433990,1307808
1449942,1307808
1471877,1307808
1474431,1307808
1447943,1307808
1461395,1307808
1427843,1307808
1465517,1307808
1487021,1305309
1485322,1305309
1480931,1305309
1495969,1305309
1481819,1305309
1469375,1305309
1499342,1305309
1485759,1305309
1448405,1305309
1481417,1305309
