first,best
130290,134987
130290,135145
130290,132824
130290,133384
130290,134331
130290,133265
130290,134752
130290,130846
130290,132516
130290,132045
130010,134987
130010,135145
130010,132824
130010,133384
130010,134331
130010,133265
130010,134752
130010,130846
130010,132516
130010,132045
130357,134987
130357,135145
130357,132824
130357,133384
130357,134331
130357,133265
130357,134752
130357,130846
130357,132516
130357,132045
129245,134987
129245,135145
129245,132824
129245,133384
129245,134331
129245,133265
129245,134752
129245,130846
129245,132516
129245,132045
128719,134987
128719,135145
128719,132824
128719,133384
128719,134331
128719,133265
128719,134752
128719,130846
128719,132516
128719,132045
129747,134987
129747,135145
129747,132824
129747,133384
129747,134331
129747,133265
129747,134752
129747,130846
129747,132516
129747,132045
129737,134987
129737,135145
129737,132824
129737,133384
129737,134331
129737,133265
129737,134752
129737,130846
129737,132516
129737,132045
131384,134987
131384,135145
131384,132824
131384,133384
131384,134331
131384,133265
131384,134752
131384,130846
131384,132516
131384,132045
131619,134987
131619,135145
131619,132824
131619,133384
131619,134331
131619,133265
131619,134752
131619,130846
131619,132516
131619,132045
130534,134987
130534,135145
130534,132824
130534,133384
130534,134331
130534,133265
130534,134752
130534,130846
130534,132516
130534,132045
124968,125380
124968,125798
124968,126064
124968,125327
124968,128890
124968,125680
124968,125484
124968,125451
124968,124563
124968,124094
122552,125380
122552,125798
122552,126064
122552,125327
122552,128890
122552,125680
122552,125484
122552,125451
122552,124563
122552,124094
123506,125380
123506,125798
123506,126064
123506,125327
123506,128890
123506,125680
123506,125484
123506,125451
123506,124563
123506,124094
122152,125380
122152,125798
122152,126064
122152,125327
122152,128890
122152,125680
122152,125484
122152,125451
122152,124563
122152,124094
123805,125380
123805,125798
123805,126064
123805,125327
123805,128890
123805,125680
123805,125484
123805,125451
123805,124563
123805,124094
123002,125380
123002,125798
123002,126064
123002,125327
123002,128890
123002,125680
123002,125484
123002,125451
123002,124563
123002,124094
124084,125380
124084,125798
124084,126064
124084,125327
124084,128890
124084,125680
124084,125484
124084,125451
124084,124563
124084,124094
122905,125380
122905,125798
122905,126064
122905,125327
122905,128890
