first,best
141464,145129
141464,151175
141464,148228
141464,151881
141464,150805
141464,154134
141464,144580
141464,154200
141464,143492
141464,153126
145981,145129
145981,151175
145981,148228
145981,151881
145981,150805
145981,154134
145981,144580
145981,154200
145981,143492
145981,153126
146531,145129
146531,151175
146531,148228
146531,151881
146531,150805
146531,154134
146531,144580
146531,154200
146531,143492
146531,153126
143488,145129
143488,151175
143488,148228
143488,151881
143488,150805
143488,154134
143488,144580
143488,154200
143488,143492
143488,153126
149339,145129
149339,151175
149339,148228
149339,151881
149339,150805
149339,154134
149339,144580
149339,154200
149339,143492
149339,153126
147321,145129
147321,151175
147321,148228
147321,151881
147321,150805
147321,154134
147321,144580
147321,154200
147321,143492
147321,153126
150873,145129
150873,151175
150873,148228
150873,151881
150873,150805
150873,154134
150873,144580
150873,154200
150873,143492
150873,153126
153272,145129
153272,151175
153272,148228
153272,151881
153272,150805
153272,154134
153272,144580
153272,154200
153272,143492
153272,153126
148381,145129
148381,151175
148381,148228
148381,151881
148381,150805
148381,154134
148381,144580
148381,154200
148381,143492
148381,153126
147890,145129
147890,151175
147890,148228
147890,151881
147890,150805
147890,154134
147890,144580
147890,154200
147890,143492
147890,153126
146103,136734
146103,146514
146103,144977
146103,141301
146103,139580
146103,142563
146103,142790
146103,140478
146103,137376
146103,140300
141182,136734
141182,146514
141182,144977
141182,141301
141182,139580
141182,142563
141182,142790
141182,140478
141182,137376
141182,140300
139695,136734
139695,146514
139695,144977
139695,141301
139695,139580
139695,142563
139695,142790
139695,140478
139695,137376
139695,140300
139896,136734
139896,146514
139896,144977
139896,141301
139896,139580
139896,142563
139896,142790
139896,140478
139896,137376
139896,140300
141998,136734
141998,146514
141998,144977
141998,141301
141998,139580
141998,142563
141998,142790
141998,140478
141998,137376
141998,140300
137285,136734
137285,146514
137285,144977
137285,141301
137285,139580
137285,142563
137285,142790
137285,140478
137285,137376
137285,140300
150135,136734
150135,146514
150135,144977
150135,141301
150135,139580
150135,142563
150135,142790
150135,140478
150135,137376
150135,140300
141185,136734
141185,146514
141185,144977
141185,141301
141185,139580
141185,142563
141185,142790
141185,140478
141185,137376
141185,140300
137521,136734
137521,146514
137521,144977
137521,141301
137521,139580
137521,142563
137521,142790
137521,140478
137521,137376
137521,140300
146111,136734
146111,146514
146111,144977
146111,141301
146111,139580
146111,142563
146111,142790
146111,140478
146111,137376
146111,140300
146727,141728
146727,142780
146727,143047
146727,146147
146727,138474
146727,143774
146727,144698
146727,140158
146727,140491
146727,141675
145845,141728
145845,142780
145845,143047
145845,146147
145845,138474
145845,143774
145845,144698
145845,140158
145845,140491
145845,141675
145975,141728
145975,142780
145975,143047
145975,146147
145975,138474
145975,143774
145975,144698
145975,140158
145975,140491
145975,141675
140706,141728
140706,142780
140706,143047
140706,146147
140706,138474
140706,143774
140706,144698
140706,140158
140706,140491
140706,141675
140418,141728
140418,142780
140418,143047
140418,146147
140418,138474
140418,143774
140418,144698
140418,140158
140418,140491
140418,141675
147558,141728
147558,142780
147558,143047
147558,146147
147558,138474
147558,143774
147558,144698
147558,140158
147558,140491
147558,141675
142635,141728
142635,142780
142635,143047
142635,146147
142635,138474
142635,143774
142635,144698
142635,140158
142635,140491
142635,141675
151035,141728
151035,142780
151035,143047
151035,146147
151035,138474
151035,143774
151035,144698
151035,140158
151035,140491
151035,141675
138326,141728
138326,142780
138326,143047
138326,146147
138326,138474
138326,143774
138326,144698
138326,140158
138326,140491
138326,141675
136661,141728
136661,142780
136661,143047
136661,146147
136661,138474
136661,143774
136661,144698
136661,140158
136661,140491
136661,141675
141547,140105
141547,145678
141547,145053
141547,147292
141547,144937
141547,145809
141547,141696
141547,140175
141547,149726
141547,143260
146863,140105
146863,145678
146863,145053
146863,147292
146863,144937
146863,145809
146863,141696
146863,140175
146863,149726
146863,143260
140598,140105
140598,145678
140598,145053
140598,147292
140598,144937
140598,145809
140598,141696
140598,140175
140598,149726
140598,143260
141798,140105
141798,145678
141798,145053
141798,147292
141798,144937
141798,145809
141798,141696
141798,140175
141798,149726
141798,143260
138862,140105
138862,145678
138862,145053
138862,147292
138862,144937
138862,145809
138862,141696
138862,140175
138862,149726
138862,143260
140532,140105
140532,145678
140532,145053
140532,147292
140532,144937
140532,145809
140532,141696
140532,140175
140532,149726
140532,143260
142693,140105
142693,145678
142693,145053
142693,147292
142693,144937
142693,145809
142693,141696
142693,140175
142693,149726
142693,143260
138263,140105
138263,145678
138263,145053
138263,147292
138263,144937
138263,145809
138263,141696
138263,140175
138263,149726
138263,143260
142724,140105
142724,145678
142724,145053
142724,147292
142724,144937
142724,145809
142724,141696
142724,140175
142724,149726
142724,143260
145418,140105
145418,145678
145418,145053
145418,147292
145418,144937
145418,145809
145418,141696
145418,140175
145418,149726
145418,143260
144371,144388
144371,136442
144371,143682
144371,145299
144371,140116
144371,146287
144371,141895
144371,142503
144371,145157
144371,150697
142540,144388
142540,136442
142540,143682
142540,145299
142540,140116
142540,146287
142540,141895
142540,142503
142540,145157
142540,150697
143638,144388
143638,136442
143638,143682
143638,145299
143638,140116
143638,146287
143638,141895
143638,142503
143638,145157
143638,150697
141437,144388
141437,136442
141437,143682
141437,145299
141437,140116
141437,146287
141437,141895
141437,142503
141437,145157
141437,150697
141419,144388
141419,136442
141419,143682
141419,145299
141419,140116
141419,146287
141419,141895
141419,142503
141419,145157
141419,150697
135835,144388
135835,136442
135835,143682
135835,145299
135835,140116
135835,146287
135835,141895
135835,142503
135835,145157
135835,150697
143980,144388
143980,136442
143980,143682
143980,145299
143980,140116
143980,146287
143980,141895
143980,142503
143980,145157
143980,150697
144904,144388
144904,136442
144904,143682
144904,145299
144904,140116
144904,146287
144904,141895
144904,142503
144904,145157
144904,150697
141583,144388
141583,136442
141583,143682
141583,145299
141583,140116
141583,146287
141583,141895
141583,142503
141583,145157
141583,150697
145043,144388
145043,136442
145043,143682
145043,145299
145043,140116
145043,146287
145043,141895
145043,142503
145043,145157
145043,150697
139195,144645
139195,138153
139195,145298
139195,143645
139195,144953
139195,147735
139195,145931
139195,146025
139195,144355
139195,146267
148522,144645
148522,138153
148522,145298
148522,143645
148522,144953
148522,147735
148522,145931
148522,146025
148522,144355
148522,146267
142984,144645
142984,138153
142984,145298
142984,143645
142984,144953
142984,147735
142984,145931
142984,146025
142984,144355
142984,146267
143919,144645
143919,138153
143919,145298
143919,143645
143919,144953
143919,147735
143919,145931
143919,146025
143919,144355
143919,146267
142194,144645
142194,138153
142194,145298
142194,143645
142194,144953
142194,147735
142194,145931
142194,146025
142194,144355
142194,146267
145094,144645
145094,138153
145094,145298
145094,143645
145094,144953
145094,147735
145094,145931
145094,146025
145094,144355
145094,146267
143966,144645
143966,138153
143966,145298
143966,143645
143966,144953
143966,147735
143966,145931
143966,146025
143966,144355
143966,146267
145446,144645
145446,138153
145446,145298
145446,143645
145446,144953
145446,147735
145446,145931
145446,146025
145446,144355
145446,146267
142489,144645
142489,138153
142489,145298
142489,143645
142489,144953
142489,147735
142489,145931
142489,146025
142489,144355
142489,146267
144611,144645
144611,138153
144611,145298
144611,143645
144611,144953
144611,147735
144611,145931
144611,146025
144611,144355
144611,146267
141150,144183
141150,147702
141150,143467
141150,149009
141150,145921
141150,151156
141150,144920
141150,144606
141150,153614
141150,145816
146662,144183
146662,147702
146662,143467
146662,149009
146662,145921
146662,151156
146662,144920
146662,144606
146662,153614
146662,145816
142805,144183
142805,147702
142805,143467
142805,149009
142805,145921
142805,151156
142805,144920
142805,144606
142805,153614
142805,145816
146493,144183
146493,147702
146493,143467
146493,149009
146493,145921
146493,151156
146493,144920
146493,144606
146493,153614
146493,145816
142394,144183
142394,147702
142394,143467
142394,149009
142394,145921
142394,151156
142394,144920
142394,144606
142394,153614
142394,145816
143512,144183
143512,147702
143512,143467
143512,149009
143512,145921
143512,151156
143512,144920
143512,144606
143512,153614
143512,145816
139556,144183
139556,147702
139556,143467
139556,149009
139556,145921
139556,151156
139556,144920
139556,144606
139556,153614
139556,145816
145949,144183
145949,147702
145949,143467
145949,149009
145949,145921
145949,151156
145949,144920
145949,144606
145949,153614
145949,145816
143218,144183
143218,147702
143218,143467
143218,149009
143218,145921
143218,151156
143218,144920
143218,144606
143218,153614
143218,145816
140524,144183
140524,147702
140524,143467
140524,149009
140524,145921
140524,151156
140524,144920
140524,144606
140524,153614
140524,145816
142229,145422
142229,143430
142229,150660
142229,146429
142229,148790
142229,143742
142229,145229
142229,146183
142229,143979
142229,147058
145100,145422
145100,143430
145100,150660
145100,146429
145100,148790
145100,143742
145100,145229
145100,146183
145100,143979
145100,147058
143602,145422
143602,143430
143602,150660
143602,146429
143602,148790
143602,143742
143602,145229
143602,146183
143602,143979
143602,147058
147974,145422
147974,143430
147974,150660
