insert,transpose
132885,145129
130431,151175
132738,148228
131685,151881
133477,150805
133332,154134
131726,144580
130797,154200
130067,143492
133962,153126
123331,136734
126500,146514
125035,144977
123496,141301
123990,139580
124330,142563
125615,142790
127253,140478
125671,137376
127283,140300
121699,141728
121576,142780
123746,143047
122789,146147
121044,138474
122843,143774
125543,144698
123696,140158
122674,140491
120762,141675
128081,140105
128328,145678
125210,145053
127375,147292
125631,144937
127135,145809
125511,141696
125780,140175
125579,149726
125223,143260
122411,144388
123665,136442
120715,143682
123204,145299
123136,140116
123293,146287
126157,141895
123041,142503
122738,145157
122250,150697
124701,144645
124639,138153
125068,145298
124759,143645
125078,144953
125987,147735
127175,145931
125068,146025
124215,144355
126689,146267
126981,144183
127470,147702
127983,143467
128148,149009
127810,145921
126883,151156
127105,144920
127459,144606
128301,153614
128375,145816
126438,145422
128229,143430
128655,150660
127355,146429
127198,148790
126969,143742
127140,145229
128401,146183
130237,143979
128932,147058
126297,136074
125336,149258
126672,146681
126811,146092
127106,145670
126471,140259
124800,143979
127651,147690
126595,144960
126734,145196
129360,150999
130732,146287
127756,145030
127742,144607
129080,143121
129100,148791
128566,144532
128285,142531
128834,147102
131451,146986
387554,437130
387527,446090
385461,449252
384689,438263
388566,456192
389363,443129
384733,439566
385453,444611
380314,441277
389061,444137
389588,444487
390383,437584
391123,447734
387130,446668
394119,443810
393889,452091
392059,437631
384040,432745
390235,445539
395901,442820
384834,444523
384815,451112
388464,445951
396355,443169
383299,434590
385666,438502
389844,438461
385514,441159
387438,438363
385625,450639
391607,449603
393526,446923
386729,451709
394911,442742
393923,449069
389131,451087
393522,454549
391574,443322
389004,443942
391702,443659
388974,456007
388390,453330
389086,446423
385058,449285
386987,444000
381181,452601
393145,454151
386857,451497
390377,447719
388813,436496
387993,454134
389785,444201
396193,436999
389263,447014
392294,452131
394245,448469
393062,450125
397035,446326
390621,438519
390403,444433
390748,453698
395594,447279
395130,440103
395666,439496
388461,452885
393651,458415
391064,452192
392793,452237
390642,452041
388680,454540
399465,460870
405180,445332
401763,449763
402464,453143
400564,453581
403003,460453
401185,464045
407247,455842
407665,459933
403599,453309
392594,441168
393495,448971
390184,448221
392885,438854
397652,464764
387752,440267
397078,435241
387634,450577
392195,440752
393747,444467
398134,456180
395606,444040
395693,451362
399697,444842
393939,459399
395716,456813
398218,450722
397596,452301
396224,462178
400165,446338
1295246,1453067
1278627,1447699
1280731,1450536
1287027,1477721
1287738,1457063
1286004,1467346
1288469,1466465
1275152,1465145
1279659,1455430
1279621,1491585
1297045,1512030
1308049,1457362
1305085,1476766
1317500,1485013
1303080,1501624
1305326,1484977
1316062,1479678
1299887,1468724
1300489,1486066
1308898,1505136
1327805,1517815
1322223,1493273
1330035,1477222
1334227,1507865
1324981,1465260
1319628,1457737
1332756,1501104
1329891,1516532
1328825,1480082
1324483,1504703
1307861,1496682
1305476,1488845
1301387,1492876
1293209,1467401
1313646,1508431
1299925,1500742
1312464,1517981
1292766,1481435
1295204,1512242
1307777,1482961
1285381,1487418
1280228,1479002
1275604,1465024
1293855,1498058
1284530,1488673
1280409,1490678
1294490,1491234
1287159,1487154
1295259,1502457
1291889,1497563
1275492,1510289
1286889,1478749
1286619,1507238
1302289,1470000
1279581,1492597
1284156,1498407
1305801,1475950
1284275,1476903
1297952,1467147
1276432,1503931
1296931,1510143
1305390,1524421
1303012,1531735
1288471,1494704
1309258,1466903
1291246,1518387
1293940,1490083
1329607,1487074
1309061,1497457
1304652,1500758
1308941,1543707
1317534,1500040
1291865,1496245
1303689,1517549
1295568,1502998
1290977,1488317
1308549,1481476
1297236,1501993
1300692,1468560
1296786,1486161
1283174,1501997
1299883,1468280
1297369,1473018
1288032,1503735
1282290,1464858
1304820,1541403
1280754,1464780
1289920,1483329
1288966,1480247
1307570,1495550
1307161,1472221
1306139,1462997
1320055,1502251
1319618,1479113
1305964,1493443
1287564,1492736
1316603,1491439
1317431,1493250
1316691,1518000
1306969,1513356
