exchange,transpose
130290,141464
130010,145981
130357,146531
129245,143488
128719,149339
129747,147321
129737,150873
131384,153272
131619,148381
130534,147890
124968,146103
122552,141182
123506,139695
122152,139896
123805,141998
123002,137285
124084,150135
122905,141185
123256,137521
125197,146111
120288,146727
120607,145845
121267,145975
121392,140706
119830,140418
121074,147558
120084,142635
122186,151035
121831,138326
120025,136661
124032,141547
125367,146863
125787,140598
125089,141798
126264,138862
124357,140532
126812,142693
123978,138263
125040,142724
123433,145418
121831,144371
121389,142540
121508,143638
121656,141437
122376,141419
122546,135835
121906,143980
123308,144904
121828,141583
122107,145043
123909,139195
124235,148522
124054,142984
123987,143919
124576,142194
125544,145094
123957,143966
124384,145446
125335,142489
124007,144611
126340,141150
126959,146662
126946,142805
127330,146493
126705,142394
127421,143512
126879,139556
127072,145949
126967,143218
127100,140524
128099,142229
127115,145100
127652,143602
128220,147974
126642,147076
127288,140726
125721,147506
128972,146231
127387,141314
127052,146967
126004,141612
125845,146887
126462,148591
125785,143276
126439,140214
125452,147208
126737,141907
124788,146353
125462,142171
125281,148156
127219,140138
127794,148689
127510,149303
128003,147254
128255,147715
127966,146613
126860,142481
127197,143452
126895,141367
128244,143830
377851,444262
376948,443285
377624,442402
378478,443219
378276,442438
378923,432834
377921,431962
378530,441124
374420,429786
378243,441625
382942,441091
384335,452433
383623,447410
385413,444209
383373,445504
383509,439688
384492,438666
383283,448912
382736,436515
383449,442517
379135,441698
380007,447901
380937,449161
379533,441800
381886,441178
379765,438571
381437,441222
380896,437594
382194,436728
383538,441251
387003,432967
383743,449911
387034,433110
384821,452957
382296,433442
386172,449415
383494,431470
384100,448175
382802,440663
385060,445114
381787,450567
380471,436125
379111,449571
379525,448397
381196,451182
382157,448578
383732,436406
380750,421585
379742,455086
381097,450794
384585,447951
383226,437126
382020,437845
383941,426795
381618,445167
384804,437460
383935,449468
383474,443249
383618,444732
385892,441660
384817,446210
388961,446762
385774,458471
384649,436232
384892,463694
385689,451669
385756,456487
384922,449253
387946,441173
385717,438787
396132,458767
395392,451152
395216,454730
394955,464769
394867,448667
396397,447938
396560,447811
395300,459570
394699,440218
394144,452832
386931,449977
385640,448695
387762,446304
383496,450717
387927,457002
386140,432040
386060,439538
387406,451354
386576,439283
387935,452207
389684,443927
391604,438421
391810,452872
391344,459770
390390,445279
390653,452180
388950,442807
389121,442386
391702,441497
392440,453827
1251549,1469081
1247407,1453668
1250880,1468132
1251851,1483792
1255360,1457923
1253155,1459429
1246731,1463916
1252843,1441012
1246940,1490285
1246915,1467016
1272130,1470313
1268169,1467939
1269429,1451226
1273601,1469075
1265070,1510171
1268331,1508173
1267461,1500714
1277274,1499547
1258422,1491198
1269446,1494914
1290322,1457533
1289386,1484390
1283963,1506831
1293169,1511774
1294334,1500027
1286188,1478632
1284371,1488685
1291678,1482727
1291199,1471079
1292926,1478224
1262699,1499442
1266710,1448406
1267418,1476594
1270093,1465585
1268725,1491741
1263727,1482318
1273232,1481456
1271155,1481646
1266254,1462984
1264594,1474505
1242892,1429793
1249149,1472526
1240755,1519301
1245348,1472263
1244748,1452798
1257343,1456681
1250154,1447148
1253367,1453772
1249525,1476853
1247074,1467684
1251901,1482264
1257507,1482260
1246589,1503252
1255561,1488309
1249827,1508144
1252662,1476631
1247026,1498550
1252772,1507397
1248622,1458210
1248244,1501236
1260695,1469867
1262451,1484739
1259738,1498926
1254575,1483472
1263767,1512244
1270504,1488460
1271360,1473101
1262625,1493467
1260298,1518364
1269589,1489348
1267391,1470419
1266397,1441048
1263195,1451586
1270134,1470781
1263809,1492090
1272426,1484118
1266625,1472832
1261600,1471948
1270399,1518034
1269198,1490892
1254120,1509483
1253756,1462798
1256496,1433990
1253304,1449942
1250190,1471877
1250795,1474431
1258994,1447943
1258346,1461395
1260998,1427843
1260125,1465517
1280943,1487021
1275185,1485322
1277208,1480931
1273005,1495969
1270263,1481819
1266827,1469375
1268655,1499342
1272585,1485759
1277558,1448405
1273002,1481417
