insert,exchange
129809,130290
128481,130010
129160,130357
132892,129245
129703,128719
130858,129747
131276,129737
130306,131384
130203,131619
131722,130534
123157,124968
121718,122552
123373,123506
120701,122152
123867,123805
124602,123002
122718,124084
123435,122905
122857,123256
121456,125197
121008,120288
121522,120607
120873,121267
119804,121392
120356,119830
123238,121074
123803,120084
119997,122186
119604,121831
121228,120025
123907,124032
125137,125367
125598,125787
126093,125089
126347,126264
123949,124357
124586,126812
125640,123978
125020,125040
124201,123433
122387,121831
121459,121389
124212,121508
121948,121656
121908,122376
122320,122546
121521,121906
120990,123308
123809,121828
121604,122107
124045,123909
124617,124235
123738,124054
123763,123987
123659,124576
124176,125544
123765,123957
124272,124384
124181,125335
123665,124007
128311,126340
126248,126959
128312,126946
126447,127330
126765,126705
127348,127421
127613,126879
127143,127072
128299,126967
125910,127100
125820,128099
126596,127115
128297,127652
125842,128220
127250,126642
128008,127288
125515,125721
126742,128972
127560,127387
126554,127052
125145,126004
126368,125845
124315,126462
126080,125785
125109,126439
125153,125452
125455,126737
125438,124788
125197,125462
125430,125281
127786,127219
128065,127794
127910,127510
127646,128003
126390,128255
127079,127966
128298,126860
128695,127197
128347,126895
128669,128244
380362,377851
379657,376948
378490,377624
377429,378478
381638,378276
383189,378923
380372,377921
379784,378530
379285,374420
378063,378243
385332,382942
387622,384335
386305,383623
389810,385413
389378,383373
389254,383509
390592,384492
386233,383283
387081,382736
385592,383449
381118,379135
386712,380007
382344,380937
386474,379533
381339,381886
385741,379765
393093,381437
386017,380896
378901,382194
382811,383538
385037,387003
387721,383743
387874,387034
385430,384821
389334,382296
386578,386172
386355,383494
382740,384100
387850,382802
387999,385060
382981,381787
383229,380471
383996,379111
382763,379525
384258,381196
381986,382157
381343,383732
384253,380750
384871,379742
380883,381097
387459,384585
383096,383226
387437,382020
387558,383941
381849,381618
386691,384804
384379,383935
385481,383474
384644,383618
389559,385892
394968,384817
391217,388961
387797,385774
385104,384649
386685,384892
393096,385689
396479,385756
387246,384922
391212,387946
386722,385717
402902,396132
402289,395392
398556,395216
399878,394955
404481,394867
402792,396397
402547,396560
399462,395300
397225,394699
397921,394144
388861,386931
391524,385640
387114,387762
391908,383496
387720,387927
391372,386140
388265,386060
386359,387406
392358,386576
386191,387935
394422,389684
390171,391604
396332,391810
394772,391344
392835,390390
394051,390653
393872,388950
394632,389121
390844,391702
393985,392440
1267531,1251549
1271335,1247407
1267224,1250880
1273123,1251851
1288412,1255360
1275145,1253155
1272048,1246731
1272023,1252843
1278858,1246940
1275623,1246915
1287009,1272130
1280702,1268169
1298715,1269429
1281593,1273601
1290412,1265070
1288742,1268331
1299154,1267461
1289755,1277274
1287503,1258422
1290741,1269446
1316155,1290322
1309246,1289386
1319077,1283963
1310751,1293169
1317078,1294334
1310438,1286188
1314819,1284371
1310010,1291678
1315664,1291199
1305957,1292926
1283823,1262699
1292703,1266710
1285583,1267418
1285493,1270093
1288618,1268725
1290546,1263727
1305268,1273232
1287595,1271155
1295236,1266254
1288761,1264594
1266017,1242892
1262896,1249149
1277795,1240755
1262382,1245348
1262593,1244748
1265006,1257343
1277550,1250154
1256693,1253367
1272574,1249525
1274886,1247074
1272185,1251901
1265859,1257507
1284817,1246589
1281484,1255561
1273784,1249827
1279079,1252662
1269006,1247026
1272813,1252772
1279680,1248622
1282096,1248244
1288531,1260695
1299505,1262451
1288489,1259738
1280582,1254575
1278594,1263767
1280836,1270504
1286685,1271360
1280662,1262625
1289304,1260298
1292240,1269589
1291548,1267391
1284870,1266397
1293532,1263195
1291432,1270134
1295420,1263809
1289962,1272426
1302420,1266625
1280042,1261600
1284538,1270399
1287885,1269198
1279273,1254120
1275515,1253756
1274720,1256496
1276819,1253304
1283675,1250190
1277721,1250795
1281896,1258994
1284021,1258346
1279858,1260998
1277763,1260125
1295165,1280943
1289203,1275185
1298980,1277208
1302519,1273005
1290395,1270263
1298150,1266827
1299763,1268655
1288125,1272585
1291919,1277558
1311236,1273002
