instance,jobs,pivot,neighborhood,init,seed,completion,time
./instances/Benchmarks/ta051,50,first,transpose,random,1,141464,0.000802
./instances/Benchmarks/ta051,50,first,transpose,random,2,145981,0.001228
./instances/Benchmarks/ta051,50,first,transpose,random,3,146531,0.000978
./instances/Benchmarks/ta051,50,first,transpose,random,4,143488,0.000938
./instances/Benchmarks/ta051,50,first,transpose,random,5,149339,0.001186
./instances/Benchmarks/ta051,50,first,transpose,random,6,147321,0.000551
./instances/Benchmarks/ta051,50,first,transpose,random,7,150873,0.000737
./instances/Benchmarks/ta051,50,first,transpose,random,8,153272,0.000725
./instances/Benchmarks/ta051,50,first,transpose,random,9,148381,0.000762
./instances/Benchmarks/ta051,50,first,transpose,random,10,147890,0.000997
./instances/Benchmarks/ta051,50,first,transpose,srz,0,133120,0.000100
./instances/Benchmarks/ta051,50,first,exchange,random,1,130290,0.023566
./instances/Benchmarks/ta051,50,first,exchange,random,2,130010,0.019346
./instances/Benchmarks/ta051,50,first,exchange,random,3,130357,0.014405
./instances/Benchmarks/ta051,50,first,exchange,random,4,129245,0.020602
./instances/Benchmarks/ta051,50,first,exchange,random,5,128719,0.019646
./instances/Benchmarks/ta051,50,first,exchange,random,6,129747,0.021587
./instances/Benchmarks/ta051,50,first,exchange,random,7,129737,0.026074
./instances/Benchmarks/ta051,50,first,exchange,random,8,131384,0.017047
./instances/Benchmarks/ta051,50,first,exchange,random,9,131619,0.020110
./instances/Benchmarks/ta051,50,first,exchange,random,10,130534,0.023068
./instances/Benchmarks/ta051,50,first,exchange,srz,0,132577,0.002356
./instances/Benchmarks/ta051,50,first,insert,random,1,129809,0.035042
./instances/Benchmarks/ta051,50,first,insert,random,2,128481,0.040369
./instances/Benchmarks/ta051,50,first,insert,random,3,129160,0.048688
./instances/Benchmarks/ta051,50,first,insert,random,4,132892,0.031799
./instances/Benchmarks/ta051,50,first,insert,random,5,129703,0.047412
./instances/Benchmarks/ta051,50,first,insert,random,6,130858,0.035914
./instances/Benchmarks/ta051,50,first,insert,random,7,131276,0.053914
./instances/Benchmarks/ta051,50,first,insert,random,8,130306,0.052612
./instances/Benchmarks/ta051,50,first,insert,random,9,130203,0.033694
./instances/Benchmarks/ta051,50,first,insert,random,10,131722,0.034923
./instances/Benchmarks/ta051,50,first,insert,srz,0,129026,0.014345
./instances/Benchmarks/ta051,50,best,transpose,random,1,145129,0.000490
./instances/Benchmarks/ta051,50,best,transpose,random,2,151175,0.000471
./instances/Benchmarks/ta051,50,best,transpose,random,3,148228,0.001593
./instances/Benchmarks/ta051,50,best,transpose,random,4,151881,0.000974
./instances/Benchmarks/ta051,50,best,transpose,random,5,150805,0.001212
./instances/Benchmarks/ta051,50,best,transpose,random,6,154134,0.000798
./instances/Benchmarks/ta051,50,best,transpose,random,7,144580,0.000798
