instance,jobs,pivot,neighborhood,init,seed,completion,time,instance_short,INS,VAL,deviation_%
./instances/Benchmarks/ta051,50,VND1,,srz,0,128822,0.374155,TA51,TA51,125831,2.3769977191630045
./instances/Benchmarks/ta051,50,VND2,,srz,0,129181,0.266794,TA51,TA51,125831,2.6623010228004227
./instances/Benchmarks/ta052,50,VND1,,srz,0,122098,0.335351,TA52,TA52,119247,2.390835828155006
./instances/Benchmarks/ta052,50,VND2,,srz,0,121867,0.267311,TA52,TA52,119247,2.1971202629835553
./instances/Benchmarks/ta053,50,VND1,,srz,0,120823,0.212688,TA53,TA53,116459,3.7472415184743126
./instances/Benchmarks/ta053,50,VND2,,srz,0,120083,0.192392,TA53,TA53,116459,3.11182476236272
./instances/Benchmarks/ta054,50,VND1,,srz,0,124051,0.362407,TA54,TA54,120261,3.1514788667980476
./instances/Benchmarks/ta054,50,VND2,,srz,0,123568,0.359989,TA54,TA54,120261,2.7498524043538635
./instances/Benchmarks/ta055,50,VND1,,srz,0,121945,0.314946,TA55,TA55,118184,3.182325864753266
./instances/Benchmarks/ta055,50,VND2,,srz,0,121350,0.445057,TA55,TA55,118184,2.678873620794693
./instances/Benchmarks/ta056,50,VND1,,srz,0,123859,0.347944,TA56,TA56,120586,2.7142454347934253
./instances/Benchmarks/ta056,50,VND2,,srz,0,123261,0.471303,TA56,TA56,120586,2.2183338032607436
./instances/Benchmarks/ta057,50,VND1,,srz,0,126382,0.150705,TA57,TA57,122880,2.8499348958333335
./instances/Benchmarks/ta057,50,VND2,,srz,0,125894,0.229214,TA57,TA57,122880,2.4527994791666665
./instances/Benchmarks/ta058,50,VND1,,srz,0,125696,0.447493,TA58,TA58,122489,2.6181942868339196
./instances/Benchmarks/ta058,50,VND2,,srz,0,127565,0.220844,TA58,TA58,122489,4.1440455877670646
./instances/Benchmarks/ta059,50,VND1,,srz,0,125803,0.284778,TA59,TA59,121872,3.22551529473546
./instances/Benchmarks/ta059,50,VND2,,srz,0,125330,0.179876,TA59,TA59,121872,2.837403177103847
./instances/Benchmarks/ta060,50,VND1,,srz,0,127590,0.331728,TA60,TA60,123954,2.933346241347597
./instances/Benchmarks/ta060,50,VND2,,srz,0,127515,0.315542,TA60,TA60,123954,2.8728399244881166
./instances/Benchmarks/ta081,100,VND1,,srz,0,375291,7.606413,TA81,TA81,365463,2.6891915187036717
./instances/Benchmarks/ta081,100,VND2,,srz,0,377910,6.173467,TA81,TA81,365463,3.4058167311054746
./instances/Benchmarks/ta082,100,VND1,,srz,0,382970,5.02351,TA82,TA82,372001,2.94864798750541
./instances/Benchmarks/ta082,100,VND2,,srz,0,383816,5.344225,TA82,TA82,372001,3.176066731003411
./instances/Benchmarks/ta083,100,VND1,,srz,0,378960,6.249813,TA83,TA83,370027,2.4141481567561285
./instances/Benchmarks/ta083,100,VND2,,srz,0,380143,4.360294,TA83,TA83,370027,2.733854556559386
./instances/Benchmarks/ta084,100,VND1,,srz,0,386268,4.043124,TA84,TA84,372393,3.7259024739992426
./instances/Benchmarks/ta084,100,VND2,,srz,0,384398,5.300837,TA84,TA84,372393,3.223744807233219
./instances/Benchmarks/ta085,100,VND1,,srz,0,381245,3.736231,TA85,TA85,368915,3.342233305775043
./instances/Benchmarks/ta085,100,VND2,,srz,0,382083,3.570716,TA85,TA85,368915,3.569385901901522
./instances/Benchmarks/ta086,100,VND1,,srz,0,383931,6.046493,TA86,TA86,370908,3.5111132679801997
./instances/Benchmarks/ta086,100,VND2,,srz,0,385060,7.768488,TA86,TA86,370908,3.8155014181414257
./instances/Benchmarks/ta087,100,VND1,,srz,0,387121,6.469221,TA87,TA87,373408,3.672390521895621
./instances/Benchmarks/ta087,100,VND2,,srz,0,386182,7.723095,TA87,TA87,373408,3.4209229582654896
./instances/Benchmarks/ta088,100,VND1,,srz,0,399796,3.387207,TA88,TA88,384525,3.971393277420194
./instances/Benchmarks/ta088,100,VND2,,srz,0,396967,4.124772,TA88,TA88,384525,3.235680384890449
./instances/Benchmarks/ta089,100,VND1,,srz,0,387434,3.73278,TA89,TA89,374423,3.4749467847861912
./instances/Benchmarks/ta089,100,VND2,,srz,0,388151,3.657567,TA89,TA89,374423,3.666441431215497
./instances/Benchmarks/ta090,100,VND1,,srz,0,393352,5.685043,TA90,TA90,379296,3.7058128743777945
./instances/Benchmarks/ta090,100,VND2,,srz,0,390687,8.984218,TA90,TA90,379296,3.003195393571248
./instances/Benchmarks/ta101,200,VND1,,srz,0,1252925,92.664694,TA101,TA101,1221768,2.5501568219170907
./instances/Benchmarks/ta101,200,VND2,,srz,0,1257726,104.552787,TA101,TA101,1221768,2.9431119492407722
./instances/Benchmarks/ta102,200,VND1,,srz,0,1269350,94.360247,TA102,TA102,1231880,3.041692372633698
./instances/Benchmarks/ta102,200,VND2,,srz,0,1275756,91.938073,TA102,TA102,1231880,3.5617105562230087
./instances/Benchmarks/ta103,200,VND1,,srz,0,1287075,107.085284,TA103,TA103,1254822,2.570324715377958
./instances/Benchmarks/ta103,200,VND2,,srz,0,1301737,107.297727,TA103,TA103,1254822,3.7387772927156204
./instances/Benchmarks/ta104,200,VND1,,srz,0,1271084,72.222208,TA104,TA104,1226654,3.622048271150626
./instances/Benchmarks/ta104,200,VND2,,srz,0,1270930,44.792987,TA104,TA104,1226654,3.609493793685913
./instances/Benchmarks/ta105,200,VND1,,srz,0,1248746,68.381657,TA105,TA105,1215411,2.742693623802977
./instances/Benchmarks/ta105,200,VND2,,srz,0,1256595,75.378452,TA105,TA105,1215411,3.3884834019109586
./instances/Benchmarks/ta106,200,VND1,,srz,0,1253510,92.821927,TA106,TA106,1219698,2.772161633453527
./instances/Benchmarks/ta106,200,VND2,,srz,0,1267580,105.587112,TA106,TA106,1219698,3.9257258764054708
./instances/Benchmarks/ta107,200,VND1,,srz,0,1266785,104.600692,TA107,TA107,1237014,2.4066825436090458
./instances/Benchmarks/ta107,200,VND2,,srz,0,1272713,105.869573,TA107,TA107,1237014,2.885901048815939
./instances/Benchmarks/ta108,200,VND1,,srz,0,1265068,90.941161,TA108,TA108,1233257,2.5794299160677783
./instances/Benchmarks/ta108,200,VND2,,srz,0,1265941,103.274583,TA108,TA108,1233257,2.650218081065017
./instances/Benchmarks/ta109,200,VND1,,srz,0,1256492,66.97648,TA109,TA109,1222431,2.7863331345491074
./instances/Benchmarks/ta109,200,VND2,,srz,0,1257789,118.314499,TA109,TA109,1222431,2.892433192548291
./instances/Benchmarks/ta110,200,VND1,,srz,0,1280600,77.114081,TA110,TA110,1234864,3.7037276979489238
./instances/Benchmarks/ta110,200,VND2,,srz,0,1277002,73.926361,TA110,TA110,1234864,3.41235957967841
