random,srz
134987,132441
135145,132441
132824,132441
133384,132441
134331,132441
133265,132441
134752,132441
130846,132441
132516,132441
132045,132441
125380,124601
125798,124601
126064,124601
125327,124601
128890,124601
125680,124601
125484,124601
125451,124601
124563,124601
124094,124601
121457,121320
123991,121320
123384,121320
124045,121320
122395,121320
123641,121320
122154,121320
123172,121320
123412,121320
122435,121320
127121,125733
125225,125733
127180,125733
126493,125733
125949,125733
125668,125733
129213,125733
127013,125733
126082,125733
126589,125733
124504,123237
123030,123237
124196,123237
122298,123237
126591,123237
129299,123237
125651,123237
124926,123237
125418,123237
123952,123237
125764,123999
125543,123999
126240,123999
126498,123999
126885,123999
126161,123999
126647,123999
124724,123999
126953,123999
127750,123999
128947,128265
129489,128265
131823,128265
130102,128265
132248,128265
130269,128265
130358,128265
127195,128265
128290,128265
127329,128265
128861,128097
130495,128097
130036,128097
128032,128097
130146,128097
128507,128097
128805,128097
127686,128097
129431,128097
129808,128097
128375,126898
127582,126898
129294,126898
127638,126898
126909,126898
128425,126898
127174,126898
129027,126898
127586,126898
130008,126898
129100,130533
129545,130533
128810,130533
131013,130533
129040,130533
129549,130533
130333,130533
128096,130533
131532,130533
129969,130533
382759,382424
386200,382424
390052,382424
386427,382424
381053,382424
388719,382424
387776,382424
388556,382424
391812,382424
387339,382424
390430,389157
390979,389157
396358,389157
392217,389157
395223,389157
389700,389157
394030,389157
394833,389157
396285,389157
397482,389157
391661,386442
392945,386442
385684,386442
389715,386442
388525,386442
387410,386442
385674,386442
390421,386442
390883,386442
385989,386442
394473,389172
393116,389172
399195,389172
390084,389172
394162,389172
393553,389172
396638,389172
395970,389172
391812,389172
394635,389172
389310,385647
392814,385647
389324,385647
384243,385647
392434,385647
388075,385647
388540,385647
388086,385647
388555,385647
389963,385647
394195,392252
391241,392252
391566,392252
392117,392252
395763,392252
395362,392252
390427,392252
392042,392252
390553,392252
392435,392252
392411,395693
391787,395693
395793,395693
395726,395693
395438,395693
388629,395693
394886,395693
395647,395693
402156,395693
398320,395693
403367,405255
407872,405255
405202,405255
401688,405255
407298,405255
400149,405255
410686,405255
404060,405255
404629,405255
407354,405255
394496,391708
392423,391708
396236,391708
394977,391708
396245,391708
398860,391708
395912,391708
396302,391708
394720,391708
395167,391708
400246,395425
405838,395425
396620,395425
397785,395425
403057,395425
397959,395425
400525,395425
398203,395425
403262,395425
398713,395425
1282726,1269317
1285401,1269317
1281027,1269317
1278143,1269317
1290019,1269317
1281043,1269317
1287353,1269317
1278946,1269317
1278013,1269317
1288803,1269317
1311977,1293932
1296689,1293932
1302885,1293932
1302451,1293932
1294896,1293932
1316694,1293932
1305952,1293932
1303518,1293932
1293127,1293932
1300883,1293932
1319774,1312962
1323117,1312962
1323090,1312962
1329870,1312962
1321608,1312962
1313390,1312962
1321685,1312962
1312266,1312962
1317593,1312962
1328874,1312962
1299029,1282337
1313454,1282337
1303456,1282337
1286997,1282337
1288029,1282337
1307170,1282337
1296163,1282337
1300828,1282337
1310076,1282337
1299266,1282337
1278711,1270080
1286379,1270080
1289294,1270080
1281925,1270080
1269949,1270080
1281411,1270080
1287051,1270080
1281106,1270080
1293012,1270080
1296993,1270080
1289973,1272827
1288789,1272827
1286486,1272827
1290033,1272827
1283681,1272827
1289155,1272827
1282883,1272827
1283431,1272827
1281095,1272827
1279567,1272827
1298650,1283474
1298386,1283474
1319890,1283474
1317798,1283474
1325068,1283474
1317080,1283474
1305188,1283474
1297918,1283474
1303995,1283474
1317985,1283474
1301700,1289370
1297259,1289370
1300379,1289370
1295879,1289370
1301469,1289370
1308402,1289370
1314462,1289370
1301702,1289370
1301240,1289370
1305047,1289370
1301391,1267706
1297439,1267706
1291437,1267706
1286764,1267706
1291906,1267706
1294378,1267706
1289571,1267706
1298721,1267706
1292714,1267706
1294099,1267706
1310446,1298717
1306472,1298717
1293989,1298717
1315177,1298717
1312959,1298717
1319743,1298717
1304897,1298717
1310945,1298717
1313312,1298717
1303614,1298717
