random,srz
132885,128971
130431,128971
132738,128971
131685,128971
133477,128971
133332,128971
131726,128971
130797,128971
130067,128971
133962,128971
123331,122456
126500,122456
125035,122456
123496,122456
123990,122456
124330,122456
125615,122456
127253,122456
125671,122456
127283,122456
121699,119677
121576,119677
123746,119677
122789,119677
121044,119677
122843,119677
125543,119677
123696,119677
122674,119677
120762,119677
128081,124225
128328,124225
125210,124225
127375,124225
125631,124225
127135,124225
125511,124225
125780,124225
125579,124225
125223,124225
122411,122685
123665,122685
120715,122685
123204,122685
123136,122685
123293,122685
126157,122685
123041,122685
122738,122685
122250,122685
124701,123706
124639,123706
125068,123706
124759,123706
125078,123706
125987,123706
127175,123706
125068,123706
124215,123706
126689,123706
126981,125791
127470,125791
127983,125791
128148,125791
127810,125791
126883,125791
127105,125791
127459,125791
128301,125791
128375,125791
126438,126583
128229,126583
128655,126583
127355,126583
127198,126583
126969,126583
127140,126583
128401,126583
130237,126583
128932,126583
126297,126071
125336,126071
126672,126071
126811,126071
127106,126071
126471,126071
124800,126071
127651,126071
126595,126071
126734,126071
129360,128066
130732,128066
127756,128066
127742,128066
129080,128066
129100,128066
128566,128066
128285,128066
128834,128066
131451,128066
387554,376889
387527,376889
385461,376889
384689,376889
388566,376889
389363,376889
384733,376889
385453,376889
380314,376889
389061,376889
389588,387798
390383,387798
391123,387798
387130,387798
394119,387798
393889,387798
392059,387798
384040,387798
390235,387798
395901,387798
384834,382486
384815,382486
388464,382486
396355,382486
383299,382486
385666,382486
389844,382486
385514,382486
387438,382486
385625,382486
391607,388102
393526,388102
386729,388102
394911,388102
393923,388102
389131,388102
393522,388102
391574,388102
389004,388102
391702,388102
388974,384147
388390,384147
389086,384147
385058,384147
386987,384147
381181,384147
393145,384147
386857,384147
390377,384147
388813,384147
387993,389405
389785,389405
396193,389405
389263,389405
392294,389405
394245,389405
393062,389405
397035,389405
390621,389405
390403,389405
390748,391681
395594,391681
395130,391681
395666,391681
388461,391681
393651,391681
391064,391681
392793,391681
390642,391681
388680,391681
399465,399975
405180,399975
401763,399975
402464,399975
400564,399975
403003,399975
401185,399975
407247,399975
407665,399975
403599,399975
392594,387938
393495,387938
390184,387938
392885,387938
397652,387938
387752,387938
397078,387938
387634,387938
392195,387938
393747,387938
398134,394251
395606,394251
395693,394251
399697,394251
393939,394251
395716,394251
398218,394251
397596,394251
396224,394251
400165,394251
1295246,1256445
1278627,1256445
1280731,1256445
1287027,1256445
1287738,1256445
1286004,1256445
1288469,1256445
1275152,1256445
1279659,1256445
1279621,1256445
1297045,1280410
1308049,1280410
1305085,1280410
1317500,1280410
1303080,1280410
1305326,1280410
1316062,1280410
1299887,1280410
1300489,1280410
1308898,1280410
1327805,1307778
1322223,1307778
1330035,1307778
1334227,1307778
1324981,1307778
1319628,1307778
1332756,1307778
1329891,1307778
1328825,1307778
1324483,1307778
1307861,1273303
1305476,1273303
1301387,1273303
1293209,1273303
1313646,1273303
1299925,1273303
1312464,1273303
1292766,1273303
1295204,1273303
1307777,1273303
1285381,1253176
1280228,1253176
1275604,1253176
1293855,1253176
1284530,1253176
1280409,1253176
1294490,1253176
1287159,1253176
1295259,1253176
1291889,1253176
1275492,1272029
1286889,1272029
1286619,1272029
1302289,1272029
1279581,1272029
1284156,1272029
1305801,1272029
1284275,1272029
1297952,1272029
1276432,1272029
1296931,1281609
1305390,1281609
1303012,1281609
1288471,1281609
1309258,1281609
1291246,1281609
1293940,1281609
1329607,1281609
1309061,1281609
1304652,1281609
1308941,1274096
1317534,1274096
1291865,1274096
1303689,1274096
1295568,1274096
1290977,1274096
1308549,1274096
1297236,1274096
1300692,1274096
1296786,1274096
1283174,1267672
1299883,1267672
1297369,1267672
1288032,1267672
1282290,1267672
1304820,1267672
1280754,1267672
1289920,1267672
1288966,1267672
1307570,1267672
1307161,1288140
1306139,1288140
1320055,1288140
1319618,1288140
1305964,1288140
1287564,1288140
1316603,1288140
1317431,1288140
1316691,1288140
1306969,1288140
