random,srz
145129,133120
151175,133120
148228,133120
151881,133120
150805,133120
154134,133120
144580,133120
154200,133120
143492,133120
153126,133120
136734,124897
146514,124897
144977,124897
141301,124897
139580,124897
142563,124897
142790,124897
140478,124897
137376,124897
140300,124897
141728,122804
142780,122804
143047,122804
146147,122804
138474,122804
143774,122804
144698,122804
140158,122804
140491,122804
141675,122804
140105,127786
145678,127786
145053,127786
147292,127786
144937,127786
145809,127786
141696,127786
140175,127786
149726,127786
143260,127786
144388,127193
136442,127193
143682,127193
145299,127193
140116,127193
146287,127193
141895,127193
142503,127193
145157,127193
150697,127193
144645,128567
138153,128567
145298,128567
143645,128567
144953,128567
147735,128567
145931,128567
146025,128567
144355,128567
146267,128567
144183,128654
147702,128654
143467,128654
149009,128654
145921,128654
151156,128654
144920,128654
144606,128654
153614,128654
145816,128654
145422,128808
143430,128808
150660,128808
146429,128808
148790,128808
143742,128808
145229,128808
146183,128808
143979,128808
147058,128808
136074,128461
149258,128461
146681,128461
146092,128461
145670,128461
140259,128461
143979,128461
147690,128461
144960,128461
145196,128461
150999,131885
146287,131885
145030,131885
144607,131885
143121,131885
148791,131885
144532,131885
142531,131885
147102,131885
146986,131885
437130,392741
446090,392741
449252,392741
438263,392741
456192,392741
443129,392741
439566,392741
444611,392741
441277,392741
444137,392741
444487,390354
437584,390354
447734,390354
446668,390354
443810,390354
452091,390354
437631,390354
432745,390354
445539,390354
442820,390354
444523,395570
451112,395570
445951,395570
443169,395570
434590,395570
438502,395570
438461,395570
441159,395570
438363,395570
450639,395570
449603,396566
446923,396566
451709,396566
442742,396566
449069,396566
451087,396566
454549,396566
443322,396566
443942,396566
443659,396566
456007,393705
453330,393705
446423,393705
449285,393705
444000,393705
452601,393705
454151,393705
451497,393705
447719,393705
436496,393705
454134,399498
444201,399498
436999,399498
447014,399498
452131,399498
448469,399498
450125,399498
446326,399498
438519,399498
444433,399498
453698,402132
447279,402132
440103,402132
439496,402132
452885,402132
458415,402132
452192,402132
452237,402132
452041,402132
454540,402132
460870,410607
445332,410607
449763,410607
453143,410607
453581,410607
460453,410607
464045,410607
455842,410607
459933,410607
453309,410607
441168,397401
448971,397401
448221,397401
438854,397401
464764,397401
440267,397401
435241,397401
450577,397401
440752,397401
444467,397401
456180,404325
444040,404325
451362,404325
444842,404325
459399,404325
456813,404325
450722,404325
452301,404325
462178,404325
446338,404325
1453067,1290251
1447699,1290251
1450536,1290251
1477721,1290251
1457063,1290251
1467346,1290251
1466465,1290251
1465145,1290251
1455430,1290251
1491585,1290251
1512030,1313275
1457362,1313275
1476766,1313275
1485013,1313275
1501624,1313275
1484977,1313275
1479678,1313275
1468724,1313275
1486066,1313275
1505136,1313275
1517815,1335682
1493273,1335682
1477222,1335682
1507865,1335682
1465260,1335682
1457737,1335682
1501104,1335682
1516532,1335682
1480082,1335682
1504703,1335682
1496682,1288662
1488845,1288662
1492876,1288662
1467401,1288662
1508431,1288662
1500742,1288662
1517981,1288662
1481435,1288662
1512242,1288662
1482961,1288662
1487418,1286065
1479002,1286065
1465024,1286065
1498058,1286065
1488673,1286065
1490678,1286065
1491234,1286065
1487154,1286065
1502457,1286065
1497563,1286065
1510289,1299937
1478749,1299937
1507238,1299937
1470000,1299937
1492597,1299937
1498407,1299937
1475950,1299937
1476903,1299937
1467147,1299937
1503931,1299937
1510143,1311333
1524421,1311333
1531735,1311333
1494704,1311333
1466903,1311333
1518387,1311333
1490083,1311333
1487074,1311333
1497457,1311333
1500758,1311333
1543707,1303796
1500040,1303796
1496245,1303796
1517549,1303796
1502998,1303796
1488317,1303796
1481476,1303796
1501993,1303796
1468560,1303796
1486161,1303796
1501997,1307708
1468280,1307708
1473018,1307708
1503735,1307708
1464858,1307708
1541403,1307708
1464780,1307708
1483329,1307708
1480247,1307708
1495550,1307708
1472221,1305171
1462997,1305171
1502251,1305171
1479113,1305171
1493443,1305171
1492736,1305171
1491439,1305171
1493250,1305171
1518000,1305171
1513356,1305171
