first,best
129809,132885
129809,130431
129809,132738
129809,131685
129809,133477
129809,133332
129809,131726
129809,130797
129809,130067
129809,133962
128481,132885
128481,130431
128481,132738
128481,131685
128481,133477
128481,133332
128481,131726
128481,130797
128481,130067
128481,133962
129160,132885
129160,130431
129160,132738
129160,131685
129160,133477
129160,133332
129160,131726
129160,130797
129160,130067
129160,133962
132892,132885
132892,130431
132892,132738
132892,131685
132892,133477
132892,133332
132892,131726
132892,130797
132892,130067
132892,133962
129703,132885
129703,130431
129703,132738
129703,131685
129703,133477
129703,133332
129703,131726
129703,130797
129703,130067
129703,133962
130858,132885
130858,130431
130858,132738
130858,131685
130858,133477
130858,133332
130858,131726
130858,130797
130858,130067
130858,133962
131276,132885
131276,130431
131276,132738
131276,131685
131276,133477
131276,133332
131276,131726
131276,130797
131276,130067
131276,133962
130306,132885
130306,130431
130306,132738
130306,131685
130306,133477
130306,133332
130306,131726
130306,130797
130306,130067
130306,133962
130203,132885
130203,130431
130203,132738
130203,131685
130203,133477
130203,133332
130203,131726
130203,130797
130203,130067
130203,133962
131722,132885
131722,130431
131722,132738
131722,131685
131722,133477
131722,133332
131722,131726
131722,130797
131722,130067
131722,133962
123157,123331
123157,126500
123157,125035
123157,123496
123157,123990
123157,124330
123157,125615
123157,127253
123157,125671
123157,127283
121718,123331
121718,126500
121718,125035
121718,123496
121718,123990
121718,124330
121718,125615
121718,127253
121718,125671
121718,127283
123373,123331
123373,126500
123373,125035
123373,123496
123373,123990
123373,124330
123373,125615
123373,127253
123373,125671
123373,127283
120701,123331
120701,126500
120701,125035
120701,123496
120701,123990
120701,124330
120701,125615
120701,127253
120701,125671
120701,127283
123867,123331
123867,126500
123867,125035
123867,123496
123867,123990
123867,124330
123867,125615
123867,127253
123867,125671
123867,127283
124602,123331
124602,126500
124602,125035
124602,123496
124602,123990
124602,124330
124602,125615
124602,127253
124602,125671
124602,127283
122718,123331
122718,126500
122718,125035
122718,123496
122718,123990
122718,124330
122718,125615
122718,127253
122718,125671
122718,127283
123435,123331
123435,126500
123435,125035
123435,123496
123435,123990
123435,124330
123435,125615
123435,127253
123435,125671
123435,127283
122857,123331
122857,126500
122857,125035
122857,123496
122857,123990
122857,124330
122857,125615
122857,127253
122857,125671
122857,127283
121456,123331
121456,126500
121456,125035
121456,123496
121456,123990
121456,124330
121456,125615
121456,127253
121456,125671
121456,127283
121008,121699
121008,121576
121008,123746
121008,122789
121008,121044
121008,122843
121008,125543
121008,123696
121008,122674
121008,120762
121522,121699
121522,121576
121522,123746
121522,122789
121522,121044
121522,122843
121522,125543
121522,123696
121522,122674
121522,120762
120873,121699
120873,121576
120873,123746
120873,122789
120873,121044
120873,122843
120873,125543
120873,123696
120873,122674
120873,120762
119804,121699
119804,121576
119804,123746
119804,122789
119804,121044
119804,122843
119804,125543
119804,123696
119804,122674
119804,120762
120356,121699
120356,121576
120356,123746
120356,122789
120356,121044
120356,122843
120356,125543
120356,123696
120356,122674
120356,120762
123238,121699
123238,121576
123238,123746
123238,122789
123238,121044
123238,122843
123238,125543
123238,123696
123238,122674
123238,120762
123803,121699
123803,121576
123803,123746
123803,122789
123803,121044
123803,122843
123803,125543
123803,123696
123803,122674
123803,120762
119997,121699
119997,121576
119997,123746
119997,122789
119997,121044
119997,122843
119997,125543
119997,123696
119997,122674
119997,120762
119604,121699
119604,121576
119604,123746
119604,122789
119604,121044
119604,122843
119604,125543
119604,123696
119604,122674
119604,120762
121228,121699
121228,121576
121228,123746
121228,122789
121228,121044
121228,122843
121228,125543
121228,123696
121228,122674
121228,120762
123907,128081
123907,128328
123907,125210
123907,127375
123907,125631
123907,127135
123907,125511
123907,125780
123907,125579
123907,125223
125137,128081
125137,128328
125137,125210
125137,127375
125137,125631
125137,127135
125137,125511
125137,125780
125137,125579
125137,125223
125598,128081
125598,128328
125598,125210
125598,127375
125598,125631
125598,127135
125598,125511
125598,125780
125598,125579
125598,125223
126093,128081
126093,128328
126093,125210
126093,127375
126093,125631
126093,127135
126093,125511
126093,125780
126093,125579
126093,125223
126347,128081
126347,128328
126347,125210
126347,127375
126347,125631
126347,127135
126347,125511
126347,125780
126347,125579
126347,125223
123949,128081
123949,128328
123949,125210
123949,127375
123949,125631
123949,127135
123949,125511
123949,125780
123949,125579
123949,125223
124586,128081
124586,128328
124586,125210
124586,127375
124586,125631
124586,127135
124586,125511
124586,125780
124586,125579
124586,125223
125640,128081
125640,128328
125640,125210
125640,127375
125640,125631
125640,127135
125640,125511
125640,125780
125640,125579
125640,125223
125020,128081
125020,128328
125020,125210
125020,127375
125020,125631
125020,127135
125020,125511
125020,125780
125020,125579
125020,125223
124201,128081
124201,128328
124201,125210
124201,127375
124201,125631
124201,127135
124201,125511
124201,125780
124201,125579
124201,125223
122387,122411
122387,123665
122387,120715
122387,123204
122387,123136
122387,123293
122387,126157
122387,123041
122387,122738
122387,122250
121459,122411
121459,123665
121459,120715
121459,123204
121459,123136
121459,123293
121459,126157
121459,123041
121459,122738
121459,122250
124212,122411
124212,123665
124212,120715
124212,123204
124212,123136
124212,123293
124212,126157
124212,123041
124212,122738
124212,122250
121948,122411
121948,123665
121948,120715
121948,123204
121948,123136
121948,123293
121948,126157
121948,123041
121948,122738
121948,122250
121908,122411
121908,123665
121908,120715
121908,123204
121908,123136
121908,123293
121908,126157
121908,123041
121908,122738
121908,122250
122320,122411
122320,123665
122320,120715
122320,123204
122320,123136
122320,123293
122320,126157
122320,123041
122320,122738
122320,122250
121521,122411
121521,123665
121521,120715
121521,123204
121521,123136
121521,123293
121521,126157
121521,123041
121521,122738
121521,122250
120990,122411
120990,123665
120990,120715
120990,123204
120990,123136
120990,123293
120990,126157
120990,123041
120990,122738
120990,122250
123809,122411
123809,123665
123809,120715
123809,123204
123809,123136
123809,123293
123809,126157
123809,123041
123809,122738
123809,122250
121604,122411
121604,123665
121604,120715
121604,123204
121604,123136
121604,123293
121604,126157
121604,123041
121604,122738
121604,122250
124045,124701
124045,124639
124045,125068
124045,124759
124045,125078
124045,125987
124045,127175
124045,125068
124045,124215
124045,126689
124617,124701
124617,124639
124617,125068
124617,124759
124617,125078
124617,125987
124617,127175
124617,125068
124617,124215
124617,126689
123738,124701
123738,124639
123738,125068
123738,124759
123738,125078
123738,125987
123738,127175
123738,125068
123738,124215
123738,126689
123763,124701
123763,124639
123763,125068
123763,124759
123763,125078
123763,125987
123763,127175
123763,125068
123763,124215
123763,126689
123659,124701
123659,124639
123659,125068
123659,124759
123659,125078
123659,125987
123659,127175
123659,125068
123659,124215
123659,126689
124176,124701
124176,124639
124176,125068
124176,124759
124176,125078
124176,125987
124176,127175
124176,125068
124176,124215
124176,126689
123765,124701
123765,124639
123765,125068
123765,124759
123765,125078
123765,125987
123765,127175
123765,125068
123765,124215
123765,126689
124272,124701
124272,124639
124272,125068
124272,124759
124272,125078
124272,125987
124272,127175
124272,125068
124272,124215
124272,126689
124181,124701
124181,124639
124181,125068
124181,124759
124181,125078
124181,125987
124181,127175
124181,125068
124181,124215
124181,126689
123665,124701
123665,124639
123665,125068
123665,124759
123665,125078
123665,125987
123665,127175
123665,125068
123665,124215
123665,126689
128311,126981
128311,127470
128311,127983
128311,128148
128311,127810
128311,126883
128311,127105
128311,127459
128311,128301
128311,128375
126248,126981
126248,127470
126248,127983
126248,128148
126248,127810
126248,126883
126248,127105
126248,127459
126248,128301
126248,128375
128312,126981
128312,127470
128312,127983
128312,128148
128312,127810
128312,126883
128312,127105
128312,127459
128312,128301
128312,128375
126447,126981
126447,127470
126447,127983
126447,128148
126447,127810
126447,126883
126447,127105
126447,127459
126447,128301
126447,128375
126765,126981
126765,127470
126765,127983
126765,128148
126765,127810
126765,126883
126765,127105
126765,127459
126765,128301
126765,128375
127348,126981
127348,127470
127348,127983
127348,128148
127348,127810
127348,126883
127348,127105
127348,127459
127348,128301
127348,128375
127613,126981
127613,127470
127613,127983
127613,128148
127613,127810
127613,126883
127613,127105
127613,127459
127613,128301
127613,128375
127143,126981
127143,127470
127143,127983
127143,128148
127143,127810
127143,126883
127143,127105
127143,127459
127143,128301
127143,128375
128299,126981
128299,127470
128299,127983
128299,128148
128299,127810
128299,126883
128299,127105
128299,127459
128299,128301
128299,128375
125910,126981
125910,127470
125910,127983
125910,128148
125910,127810
125910,126883
125910,127105
125910,127459
125910,128301
125910,128375
125820,126438
125820,128229
125820,128655
125820,127355
125820,127198
125820,126969
125820,127140
125820,128401
125820,130237
125820,128932
126596,126438
126596,128229
126596,128655
126596,127355
126596,127198
126596,126969
126596,127140
126596,128401
126596,130237
126596,128932
128297,126438
128297,128229
128297,128655
128297,127355
128297,127198
128297,126969
128297,127140
128297,128401
128297,130237
128297,128932
125842,126438
125842,128229
125842,128655
125842,127355
