exchange,transpose
134987,145129
135145,151175
132824,148228
133384,151881
134331,150805
133265,154134
134752,144580
130846,154200
132516,143492
132045,153126
125380,136734
125798,146514
126064,144977
125327,141301
128890,139580
125680,142563
125484,142790
125451,140478
124563,137376
124094,140300
121457,141728
123991,142780
123384,143047
124045,146147
122395,138474
123641,143774
122154,144698
123172,140158
123412,140491
122435,141675
127121,140105
125225,145678
127180,145053
126493,147292
125949,144937
125668,145809
129213,141696
127013,140175
126082,149726
126589,143260
124504,144388
123030,136442
124196,143682
122298,145299
126591,140116
129299,146287
125651,141895
124926,142503
125418,145157
123952,150697
125764,144645
125543,138153
126240,145298
126498,143645
126885,144953
126161,147735
126647,145931
124724,146025
126953,144355
127750,146267
128947,144183
129489,147702
131823,143467
130102,149009
132248,145921
130269,151156
130358,144920
127195,144606
128290,153614
127329,145816
128861,145422
130495,143430
130036,150660
128032,146429
130146,148790
128507,143742
128805,145229
127686,146183
129431,143979
129808,147058
128375,136074
127582,149258
129294,146681
127638,146092
126909,145670
128425,140259
127174,143979
129027,147690
127586,144960
130008,145196
129100,150999
129545,146287
128810,145030
131013,144607
129040,143121
129549,148791
130333,144532
128096,142531
131532,147102
129969,146986
382759,437130
386200,446090
390052,449252
386427,438263
381053,456192
388719,443129
387776,439566
388556,444611
391812,441277
387339,444137
390430,444487
390979,437584
396358,447734
392217,446668
395223,443810
389700,452091
394030,437631
394833,432745
396285,445539
397482,442820
391661,444523
392945,451112
385684,445951
389715,443169
388525,434590
387410,438502
385674,438461
390421,441159
390883,438363
385989,450639
394473,449603
393116,446923
399195,451709
390084,442742
394162,449069
393553,451087
396638,454549
395970,443322
391812,443942
394635,443659
389310,456007
392814,453330
389324,446423
384243,449285
392434,444000
388075,452601
388540,454151
388086,451497
388555,447719
389963,436496
394195,454134
391241,444201
391566,436999
392117,447014
395763,452131
395362,448469
390427,450125
392042,446326
390553,438519
392435,444433
392411,453698
391787,447279
395793,440103
395726,439496
395438,452885
388629,458415
394886,452192
395647,452237
402156,452041
398320,454540
403367,460870
407872,445332
405202,449763
401688,453143
407298,453581
400149,460453
410686,464045
404060,455842
404629,459933
407354,453309
394496,441168
392423,448971
396236,448221
394977,438854
396245,464764
398860,440267
395912,435241
396302,450577
394720,440752
395167,444467
400246,456180
405838,444040
396620,451362
397785,444842
403057,459399
397959,456813
400525,450722
398203,452301
403262,462178
398713,446338
1282726,1453067
1285401,1447699
1281027,1450536
1278143,1477721
1290019,1457063
1281043,1467346
1287353,1466465
1278946,1465145
1278013,1455430
1288803,1491585
1311977,1512030
1296689,1457362
1302885,1476766
1302451,1485013
1294896,1501624
1316694,1484977
1305952,1479678
1303518,1468724
1293127,1486066
1300883,1505136
1319774,1517815
1323117,1493273
1323090,1477222
1329870,1507865
1321608,1465260
1313390,1457737
1321685,1501104
1312266,1516532
1317593,1480082
1328874,1504703
1299029,1496682
1313454,1488845
1303456,1492876
1286997,1467401
1288029,1508431
1307170,1500742
1296163,1517981
1300828,1481435
1310076,1512242
1299266,1482961
1278711,1487418
1286379,1479002
1289294,1465024
1281925,1498058
1269949,1488673
1281411,1490678
1287051,1491234
1281106,1487154
1293012,1502457
1296993,1497563
1289973,1510289
1288789,1478749
1286486,1507238
1290033,1470000
1283681,1492597
1289155,1498407
1282883,1475950
1283431,1476903
1281095,1467147
1279567,1503931
1298650,1510143
1298386,1524421
1319890,1531735
1317798,1494704
1325068,1466903
1317080,1518387
1305188,1490083
1297918,1487074
1303995,1497457
1317985,1500758
1301700,1543707
1297259,1500040
1300379,1496245
1295879,1517549
1301469,1502998
1308402,1488317
1314462,1481476
1301702,1501993
1301240,1468560
1305047,1486161
1301391,1501997
1297439,1468280
1291437,1473018
1286764,1503735
1291906,1464858
1294378,1541403
1289571,1464780
1298721,1483329
1292714,1480247
1294099,1495550
1310446,1472221
1306472,1462997
1293989,1502251
1315177,1479113
1312959,1493443
1319743,1492736
1304897,1491439
1310945,1493250
1313312,1518000
1303614,1513356
