insert,exchange
132885,134987
130431,135145
132738,132824
131685,133384
133477,134331
133332,133265
131726,134752
130797,130846
130067,132516
133962,132045
123331,125380
126500,125798
125035,126064
123496,125327
123990,128890
124330,125680
125615,125484
127253,125451
125671,124563
127283,124094
121699,121457
121576,123991
123746,123384
122789,124045
121044,122395
122843,123641
125543,122154
123696,123172
122674,123412
120762,122435
128081,127121
128328,125225
125210,127180
127375,126493
125631,125949
127135,125668
125511,129213
125780,127013
125579,126082
125223,126589
122411,124504
123665,123030
120715,124196
123204,122298
123136,126591
123293,129299
126157,125651
123041,124926
122738,125418
122250,123952
124701,125764
124639,125543
125068,126240
124759,126498
125078,126885
125987,126161
127175,126647
125068,124724
124215,126953
126689,127750
126981,128947
127470,129489
127983,131823
128148,130102
127810,132248
126883,130269
127105,130358
127459,127195
128301,128290
128375,127329
126438,128861
128229,130495
128655,130036
127355,128032
127198,130146
126969,128507
127140,128805
128401,127686
130237,129431
128932,129808
126297,128375
125336,127582
126672,129294
126811,127638
127106,126909
126471,128425
124800,127174
127651,129027
126595,127586
126734,130008
129360,129100
130732,129545
127756,128810
127742,131013
129080,129040
129100,129549
128566,130333
128285,128096
128834,131532
131451,129969
387554,382759
387527,386200
385461,390052
384689,386427
388566,381053
389363,388719
384733,387776
385453,388556
380314,391812
389061,387339
389588,390430
390383,390979
391123,396358
387130,392217
394119,395223
393889,389700
392059,394030
384040,394833
390235,396285
395901,397482
384834,391661
384815,392945
388464,385684
396355,389715
383299,388525
385666,387410
389844,385674
385514,390421
387438,390883
385625,385989
391607,394473
393526,393116
386729,399195
394911,390084
393923,394162
389131,393553
393522,396638
391574,395970
389004,391812
391702,394635
388974,389310
388390,392814
389086,389324
385058,384243
386987,392434
381181,388075
393145,388540
386857,388086
390377,388555
388813,389963
387993,394195
389785,391241
396193,391566
389263,392117
392294,395763
394245,395362
393062,390427
397035,392042
390621,390553
390403,392435
390748,392411
395594,391787
395130,395793
395666,395726
388461,395438
393651,388629
391064,394886
392793,395647
390642,402156
388680,398320
399465,403367
405180,407872
401763,405202
402464,401688
400564,407298
403003,400149
401185,410686
407247,404060
407665,404629
403599,407354
392594,394496
393495,392423
390184,396236
392885,394977
397652,396245
387752,398860
397078,395912
387634,396302
392195,394720
393747,395167
398134,400246
395606,405838
395693,396620
399697,397785
393939,403057
395716,397959
398218,400525
397596,398203
396224,403262
400165,398713
1295246,1282726
1278627,1285401
1280731,1281027
1287027,1278143
1287738,1290019
1286004,1281043
1288469,1287353
1275152,1278946
1279659,1278013
1279621,1288803
1297045,1311977
1308049,1296689
1305085,1302885
1317500,1302451
1303080,1294896
1305326,1316694
1316062,1305952
1299887,1303518
1300489,1293127
1308898,1300883
1327805,1319774
1322223,1323117
1330035,1323090
1334227,1329870
1324981,1321608
1319628,1313390
1332756,1321685
1329891,1312266
1328825,1317593
1324483,1328874
1307861,1299029
1305476,1313454
1301387,1303456
1293209,1286997
1313646,1288029
1299925,1307170
1312464,1296163
1292766,1300828
1295204,1310076
1307777,1299266
1285381,1278711
1280228,1286379
1275604,1289294
1293855,1281925
1284530,1269949
1280409,1281411
1294490,1287051
1287159,1281106
1295259,1293012
1291889,1296993
1275492,1289973
1286889,1288789
1286619,1286486
1302289,1290033
1279581,1283681
1284156,1289155
1305801,1282883
1284275,1283431
1297952,1281095
1276432,1279567
1296931,1298650
1305390,1298386
1303012,1319890
1288471,1317798
1309258,1325068
1291246,1317080
1293940,1305188
1329607,1297918
1309061,1303995
1304652,1317985
1308941,1301700
1317534,1297259
1291865,1300379
1303689,1295879
1295568,1301469
1290977,1308402
1308549,1314462
1297236,1301702
1300692,1301240
1296786,1305047
1283174,1301391
1299883,1297439
1297369,1291437
1288032,1286764
1282290,1291906
1304820,1294378
1280754,1289571
1289920,1298721
1288966,1292714
1307570,1294099
1307161,1310446
1306139,1306472
1320055,1293989
1319618,1315177
1305964,1312959
1287564,1319743
1316603,1304897
1317431,1310945
1316691,1313312
1306969,1303614
